ProductID,Name,Category,Price
1,USB-C Charger,Office,150.12
2,Electric Toothbrush,Fitness,31.47
3,Hair Dryer,Accessories,143.05
4,Fitness Tracker,Office,53.07
5,Water Bottle,Accessories,255.66
6,Hair Dryer,Accessories,14.97
7,Backpack,Fitness,239.98
8,Backpack,Office,240.37
9,Fitness Tracker,Electronics,207.93
10,Laptop Stand,Accessories,219.24
11,Bluetooth Speaker,Home,166.47
12,Laptop Stand,Electronics,240.77
13,Fitness Tracker,Fitness,108.06
14,Hair Dryer,Office,131.01
15,USB-C Charger,Accessories,200.34
16,Backpack,Electronics,142.16
17,Electric Toothbrush,Electronics,226.54
18,Laptop Stand,Appliances,83.93
19,Coffee Maker,Appliances,285.65
20,LED Monitor,Appliances,200.67
21,Hair Dryer,Travel,209.98
22,Fitness Tracker,Home,80.58
23,Coffee Maker,Accessories,33.33
24,Hair Dryer,Travel,137.36
25,Smart Watch,Appliances,113.65
26,Noise Cancelling Headphones,Appliances,212.79
27,Fitness Tracker,Office,85.79
28,Smart Watch,Fitness,229.89
29,Running Shoes,Electronics,82.56
30,Running Shoes,Accessories,103.97
31,LED Monitor,Health,45.64
32,Coffee Maker,Fitness,15.93
33,Smart Watch,Office,22.46
34,LED Monitor,Office,256.13
35,Hair Dryer,Accessories,275.42
36,Smart Watch,Health,71.32
37,LED Monitor,Electronics,236.99
38,Bluetooth Speaker,Office,97.86
39,Desk Lamp,Home,213.24
40,Laptop Stand,Home,265.1
41,Desk Lamp,Travel,97.78
42,Smart Watch,Electronics,248.77
43,Desk Lamp,Health,114.52
44,Smart Watch,Fitness,180.09
45,Smart Watch,Travel,137.6
46,Laptop Stand,Electronics,110.04
47,Water Bottle,Home,167.14
48,Wireless Mouse,Electronics,182.17
49,Bluetooth Speaker,Appliances,13.36
50,Hair Dryer,Travel,257.15
